Argument,Description,Default Value
robot_model,model type of the Interbotix Locobot such as 'locobot_base' or 'locobot_wx250s',""""""
robot_name,name of the robot (could be anything but defaults to 'locobot'),"""locobot"""
use_lidar,"if true, the RPLidar node is launched",false
show_lidar,set to true if the lidar is installed on the robot; this will load the lidar related links to the 'robot_description' parameter,$(arg use_lidar)
use_rviz,launches RViz,false
localization,"if true, Rtabmap opens in localization only mode; if false, Rtabmap open in SLAM mode",false
rtabmap_args,arguments that should be passed to the rtabmap node; note that these arguments are in addition to the arguments already specified in the rtabmap_default_args argument in the `xslocobot_nav.launch`_ file,""""""
use_rtabmapviz,whether or not to use Rtabmap's Visualization tool; it's not really necessary as Rtabmap already has RViz display plugins,false
rtabmapviz_args,arguments to pass to the Rtabmapviz visualization node,""""""
database_path,location where all the mapping data Rtabmap collects should be stored,"""~/.ros/rtabmap.db"""
camera_tilt_angle,desired angle [rad] that the D435 camera should be tilted when doing SLAM or localization,0.2618
launch_driver,true if the xslocobot_control.launch file should be launched - set to false if you would like to run your own version of this file separately,true
