"Argument","Description","Default","Choices"
"robot_model","model type of the Interbotix LoCoBot such as ``locobot_base`` or ``locobot_wx250s``.","","``locobot_base``, ``locobot_px100``, ``locobot_wx200``, ``locobot_wx250s``"
"robot_name","name of the robot (could be anything but defaults to ``locobot``).","``locobot``",""
"arm_model","the Interbotix Arm model on the LoCoBot; this should never be set manually but rather left to its default value.","PythonExpr('""mobile\_"" + ""' + LaunchConfig\(``robot_model``\) + '"".split(""\_"")[1]')",""
"use_rviz","launches RViz if set to ``true``.","``true``","``true``, ``false``"
"rviz_frame","fixed frame in RViz; this should be changed to ``map`` or ``odom`` if mapping or using local odometry respectively; ``base_footprint`` otherwise.","LaunchConfig\(``robot_name``\) + '/base_footprint'",""
"use_base","if ``true``, the base ROS nodes are launched.","``true``","``true``, ``false``"
"use_lidar","if ``true``, the RPLidar node is launched.","``false``","``true``, ``false``"
"use_camera","if ``true``, the RealSense camera nodes are launched.","``false``","``true``, ``false``"
"mode_configs","the file path to the 'mode config' YAML file.","PythonExpr('""' + LocalVar('FindPackageShare\(pkg= ``interbotix_xslocobot_joy``\) + 'config' + 'modes_base.yaml'') + '"" if ""' + LaunchConfig\(``robot_model``\) + '"" == ""locobot_base"" else ""' + LocalVar('FindPackageShare\(pkg= ``interbotix_xslocobot_joy``\) + 'config' + 'modes_all.yaml'') + '""')",""
"threshold","value from 0 to 1 defining joystick sensitivity; a larger number means the joystick should be less sensitive.","'0.75'",""
"controller","type of controller.","``ps4``","``ps4``, ``ps3``, ``xbox360``"
"launch_driver","``true`` if xslocobot_control should be launched - set to ``false`` if you would like to run your own version of this file separately.","``true``","``true``, ``false``"
"xs_driver_logging_level","set the logging level of the X-Series Driver.","``INFO``","``DEBUG``, ``INFO``, ``WARN``, ``ERROR``, ``FATAL``"
"use_sim","if ``true``, the DYNAMIXEL simulator node is run; use RViz to visualize the robot's motion; if ``false``, the real DYNAMIXEL driver node is run.","``false``","``true``, ``false``"
"base_type","the base type of the LoCoBot.","EnvVar\(``INTERBOTIX_XSLOCOBOT_BASE_TYPE``\)","``kobuki``, ``create3``"
"use_gripper","if ``true``, the default gripper is included in the ``robot_description``; if ``false``, it is left out; set to ``false`` if not using the default gripper.","``true``","``true``, ``false``"
"show_ar_tag","if ``true``, the AR tag mount is included in the ``robot_description``; if ``false``, it is left out; set to ``true`` if using the AR tag mount in your project.","``true``","``true``, ``false``"
"show_gripper_bar","if ``true``, the gripper_bar link is included in the ``robot_description``; if ``false``, the gripper_bar and finger links are not loaded. Set to ``false`` if you have a custom gripper attachment.","``true``","``true``, ``false``"
"show_gripper_fingers","if ``true``, the gripper fingers are included in the ``robot_description``; if ``false``, the gripper finger links are not loaded. Set to ``false`` if you have custom gripper fingers.","``true``","``true``, ``false``"
"external_urdf_loc","the file path to the custom urdf.xacro file that you would like to include in the Interbotix robot's urdf.xacro file.","''",""
"hardware_type","configures the ``robot_description`` to use the actual hardware, fake hardware, or hardware simulated in Gazebo.","``actual``","``actual``, ``fake``, ``gz_classic``"
"robot_description","URDF of the robot; this is typically generated by the xacro command.","Command(FindExec\(``xacro``\) + ' ' + LocalVar('FindPackageShare\(pkg= ``interbotix_xslocobot_descriptions``\) + 'urdf' + 'locobot.urdf.xacro'') + ' ' + 'arm_model:=' + LaunchConfig\(``arm_model``\) + ' ' + 'robot_name:=' + LaunchConfig\(``robot_name``\) + ' ' + 'base_model:=' + LaunchConfig\(``base_type``\) + ' ' + 'robot_model:=' + LaunchConfig\(``robot_model``\) + ' ' + 'use_gripper:=' + LaunchConfig\(``use_gripper``\) + ' ' + 'show_ar_tag:=' + LaunchConfig\(``show_ar_tag``\) + ' ' + 'show_gripper_bar:=' + LaunchConfig\(``show_gripper_bar``\) + ' ' + 'show_gripper_fingers:=' + LaunchConfig\(``show_gripper_fingers``\) + ' ' + 'use_lidar:=' + LaunchConfig\(``use_lidar``\) + ' ' + 'external_urdf_loc:=' + LaunchConfig\(``external_urdf_loc``\) + ' ' + 'hardware_type:=' + LaunchConfig\(``hardware_type``\) + ' ')",""
